experience_level,employment_type,remote_ratio,company_size,job_category,inflation_adj_salary,employee_residence_top,company_location_top
Mid/Intermediate level,Full-time,0,Medium,Data Engineer,112829,United States,United States
Mid/Intermediate level,Full-time,100,Medium,Data Engineer,115688,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Analyst,137112,United States,United States
Senior,Full-time,100,Small,Data Scientist,60563,France,United States
Senior,Full-time,100,Medium,Data Scientist,123787,United States,United States
Entry level,Full-time,100,Medium,AI/ML Researcher,64271,United Kingdom,United Kingdom
Senior,Freelancer,50,Medium,Data Engineer,53559,Other,Australia
Senior,Full-time,0,Medium,Data Scientist,173359,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Analyst,96407,United States,United States
Entry level,Full-time,100,Medium,Data Analyst,60094,United States,United States
Senior,Full-time,0,Medium,Data Scientist,219594,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Scientist,82336,United Kingdom,United Kingdom
Senior,Full-time,0,Medium,Data Engineer,206793,United States,United States
Senior,Full-time,0,Medium,Data Engineer,202455,United States,United States
Mid/Intermediate level,Full-time,100,Medium,Data Engineer,53593,Spain,Spain
Entry level,Full-time,100,Medium,Data Scientist,139256,United States,United States
Entry level,Part-time,100,Small,Data Analyst,39705,United States,United States
Entry level,Full-time,50,Large,BI Analyst,14291,Other,Other
Mid/Intermediate level,Full-time,100,Medium,Data Engineer,77126,Other,Other
Senior,Full-time,100,Large,Data Engineer,212404,United States,United States
Senior,Full-time,100,Medium,Data Scientist,196671,United States,United States
Senior,Full-time,0,Medium,Data Scientist,130685,United States,United States
Entry level,Full-time,100,Large,Data Analyst,7459,France,India
Senior,Full-time,0,Medium,Data Analyst,82336,United Kingdom,United Kingdom
Mid/Intermediate level,Full-time,100,Medium,Data Scientist,181688,United States,United States
Senior,Full-time,100,Medium,ML Engineer,295005,Other,Other
Mid/Intermediate level,Full-time,100,Medium,Data Engineer,48589,Other,Brazil
Senior,Full-time,0,Medium,Data Engineer,248730,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Scientist,71486,Germany,Germany
Mid/Intermediate level,Full-time,0,Medium,Data Scientist,91051,United States,United States
Senior,Full-time,0,Medium,Data Scientist,148081,United States,United States
Senior,Full-time,0,Medium,ML Engineer,149585,United States,United States
Entry level,Full-time,0,Large,Data Scientist,228870,United States,United States
Senior,Full-time,100,Medium,Data Scientist,139255,United States,United States
Senior,Full-time,0,Medium,Data Scientist,237509,United States,United States
Entry level,Full-time,100,Medium,Data Analyst,101763,United States,United States
Senior,Full-time,0,Medium,Data Analyst,159286,United States,United States
Mid/Intermediate level,Full-time,100,Medium,Data Engineer,177003,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Scientist,217413,United Kingdom,United Kingdom
Entry level,Full-time,100,Small,ML Engineer,65001,United Kingdom,United Kingdom
Senior,Full-time,0,Medium,Data Scientist,198170,United Kingdom,United Kingdom
Senior,Full-time,100,Medium,Data Engineer,185102,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Analyst,160678,United States,United States
Senior,Full-time,100,Medium,Data Engineer,187415,United States,United States
Entry level,Full-time,100,Large,Data Engineer,70255,Other,Other
Senior,Full-time,50,Large,Data Scientist,64583,France,France
Senior,Full-time,0,Medium,Data Scientist,160807,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Engineer,231377,United States,United States
Senior,Full-time,100,Medium,Data Engineer,195760,United States,United States
Senior,Full-time,0,Medium,Data Scientist,239732,United States,United States
Mid/Intermediate level,Full-time,50,Large,Data Engineer,34445,Other,Other
Senior,Full-time,0,Medium,Data Engineer,116760,United States,United States
Senior,Full-time,100,Medium,Data Engineer,181688,United States,United States
Senior,Full-time,0,Medium,Data Analyst,149238,United States,United States
Senior,Full-time,100,Medium,Data Engineer,144611,United States,United States
Senior,Full-time,100,Medium,Data Analyst,198170,United States,United States
Senior,Full-time,100,Medium,Data Engineer,119973,United States,United States
Mid/Intermediate level,Full-time,0,Medium,DS/AI Executive,128543,United States,United States
Senior,Full-time,100,Medium,Data Engineer,166591,United States,United States
Senior,Full-time,100,Medium,Data Engineer,283865,United States,United States
Senior,Full-time,0,Medium,Data Scientist,151038,Canada,Canada
Senior,Full-time,0,Medium,ML Engineer,185102,United States,United States
Senior,Full-time,0,Medium,Data Engineer,196671,United States,United States
Senior,Full-time,100,Medium,ML Engineer,325641,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Engineer,123286,United States,United States
Senior,Full-time,0,Medium,Data Engineer,163356,United States,United States
Senior,Full-time,100,Medium,Data Engineer,202455,United States,United States
Senior,Full-time,0,Medium,Data Engineer,199134,United States,United States
Senior,Full-time,0,Medium,Data Analyst,173533,United States,United States
Senior,Full-time,0,Medium,Data Engineer,108336,United Kingdom,United Kingdom
Senior,Full-time,100,Medium,Data Engineer,175274,United States,United States
Senior,Full-time,100,Medium,Data Scientist,226749,United States,United States
Senior,Full-time,100,Medium,Data Analyst,157638,United States,United States
Mid/Intermediate level,Full-time,50,Large,Data Engineer,41774,India,India
Senior,Full-time,0,Medium,Data Engineer,229234,United States,United States
Senior,Full-time,0,Medium,Data Scientist,198170,United States,United States
Senior,Full-time,0,Medium,Data Analyst,246373,United States,United States
Senior,Full-time,0,Medium,Data Scientist,271814,Spain,Spain
Senior,Full-time,100,Medium,Data Analyst,156180,United States,United States
Entry level,Full-time,50,Large,Data Scientist,36122,India,India
Entry level,Full-time,50,Small,Data Scientist,14304,India,India
Senior,Full-time,0,Medium,Data Scientist,288643,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Engineer,124258,United States,United States
Entry level,Full-time,100,Medium,Data Analyst,96901,United States,United States
Senior,Full-time,0,Medium,Data Scientist,131435,United States,United States
Senior,Full-time,50,Medium,Data Engineer,189235,Canada,Canada
Senior,Full-time,100,Medium,Data Scientist,149966,United States,United States
Senior,Full-time,100,Medium,ML Engineer,278509,Canada,Canada
Senior,Full-time,0,Medium,Data Engineer,118902,United States,United States
Senior,Full-time,0,Medium,Data Scientist,156394,United States,United States
Senior,Full-time,100,Medium,Data Scientist,227896,United States,United States
Mid/Intermediate level,Full-time,100,Small,ML Engineer,52045,Other,Other
Entry level,Contractor,100,Large,BI Analyst,122579,United States,United States
Senior,Full-time,100,Medium,Data Architect,153180,United States,United States
Senior,Full-time,0,Medium,Data Engineer,198170,United States,United States
Senior,Full-time,0,Medium,Data Scientist,278509,United States,United States
Senior,Full-time,0,Large,Data Scientist,248730,United States,United States
Entry level,Full-time,50,Large,BI Analyst,6567,India,India
Senior,Full-time,100,Medium,Data Analyst,60563,Other,United Kingdom
Senior,Full-time,100,Large,ML Engineer,226055,United States,United States
Mid/Intermediate level,Full-time,100,Large,Data Scientist,177003,United States,United States
Senior,Full-time,0,Medium,Data Architect,128543,United States,United States
Mid/Intermediate level,Full-time,100,Medium,DS/AI Executive,278809,United States,United States
Senior,Full-time,0,Medium,Data Scientist,199134,United States,United States
Senior,Full-time,100,Large,ML Engineer,70255,Other,Other
Mid/Intermediate level,Full-time,0,Medium,Data Analyst,107119,United States,United States
Senior,Full-time,100,Medium,Data Scientist,117506,United States,United States
Entry level,Full-time,100,Medium,Data Engineer,65078,Other,Germany
Senior,Full-time,100,Medium,Data Scientist,199562,United States,United States
Senior,Full-time,100,Medium,ML Engineer,123187,Canada,Canada
Entry level,Full-time,50,Small,ML Engineer,121126,Other,Other
Entry level,Full-time,50,Large,BI Analyst,87923,United States,United States
Senior,Full-time,100,Medium,DS/AI Executive,123187,United States,United States
Mid/Intermediate level,Full-time,100,Medium,Data Architect,203526,United States,United States
Senior,Full-time,100,Medium,Data Scientist,253872,United States,United States
Mid/Intermediate level,Full-time,100,Medium,Data Scientist,133458,United States,United States
Senior,Full-time,100,Small,ML Engineer,80115,Other,Other
Senior,Full-time,0,Medium,Data Engineer,254943,United States,United States
Mid/Intermediate level,Full-time,100,Medium,Data Scientist,162607,United States,United States
Senior,Full-time,0,Medium,Data Scientist,208239,United States,United States
Senior,Full-time,0,Medium,Data Scientist,164963,United States,United States
Entry level,Full-time,0,Medium,Data Scientist,24225,Other,Other
Mid/Intermediate level,Full-time,100,Medium,Data Scientist,150395,United States,United States
Senior,Full-time,100,Medium,Data Engineer,114403,United States,United States
Senior,Full-time,100,Medium,Data Engineer,150395,United States,United States
Senior,Full-time,100,Medium,ML Engineer,86277,France,France
Senior,Full-time,0,Medium,Data Engineer,182102,United States,United States
Senior,Full-time,100,Medium,Data Analyst,146925,United States,United States
Senior,Full-time,0,Medium,Data Architect,289221,United States,United States
Mid/Intermediate level,Full-time,100,Small,Data Scientist,95215,United Kingdom,United Kingdom
Executive level,Full-time,0,Medium,Data Management,237161,United States,United States
Senior,Full-time,0,Medium,Data Scientist,166034,United States,United States
Senior,Full-time,0,Medium,Data Scientist,85749,Other,Other
Senior,Full-time,0,Medium,Data Analyst,107119,United States,United States
Senior,Full-time,0,Medium,Data Engineer,133620,United States,United States
Senior,Full-time,0,Medium,Data Engineer,155322,United States,United States
Senior,Full-time,100,Medium,Data Scientist,146925,United States,United States
Mid/Intermediate level,Full-time,100,Medium,Data Analyst,69627,United States,United States
Senior,Full-time,0,Medium,Data Scientist,203526,Canada,Canada
Mid/Intermediate level,Full-time,0,Small,Data Scientist,15665,Other,Brazil
Senior,Full-time,0,Medium,DS/AI Executive,262548,United States,United States
Entry level,Full-time,50,Medium,Data Analyst,33278,France,France
Entry level,Full-time,100,Large,Data Scientist,138827,United States,United States
Mid/Intermediate level,Full-time,100,Large,Data Scientist,62663,India,Other
Entry level,Full-time,100,Large,Data Engineer,18892,India,India
Mid/Intermediate level,Full-time,100,Large,Data Scientist,18892,India,India
Senior,Full-time,0,Medium,Data Engineer,114403,United States,United States
Entry level,Full-time,50,Small,ML Engineer,11569,Other,Other
Mid/Intermediate level,Full-time,100,Medium,Data Scientist,181688,United States,United States
Senior,Full-time,100,Medium,ML Engineer,160678,United States,United States
Senior,Full-time,0,Medium,Data Engineer,139255,United States,United States
Senior,Full-time,100,Medium,Data Analyst,147824,United States,United States
Executive level,Full-time,50,Large,Data Management,278589,Other,Other
Mid/Intermediate level,Full-time,100,Large,Data Scientist,179317,United States,United States
Senior,Full-time,100,Medium,Data Engineer,247980,United States,United States
Mid/Intermediate level,Full-time,100,Medium,Data Engineer,83367,Other,Other
Executive level,Full-time,0,Medium,Data Engineer,214238,United States,United States
Senior,Full-time,0,Medium,Data Scientist,267797,United States,United States
Senior,Full-time,0,Large,Data Engineer,113225,United States,United States
Senior,Full-time,100,Medium,Data Engineer,117506,United States,United States
Mid/Intermediate level,Full-time,0,Small,AI Engineer,36338,Other,Other
Mid/Intermediate level,Full-time,50,Small,ML Engineer,89633,Other,Other
Mid/Intermediate level,Full-time,50,Large,Data Scientist,68304,United Kingdom,United Kingdom
Mid/Intermediate level,Full-time,0,Medium,Data Architect,196360,United States,United States
Senior,Full-time,100,Medium,Data Scientist,224200,United States,United States
Senior,Full-time,0,Medium,Data Engineer,258157,United States,United States
Mid/Intermediate level,Freelancer,50,Medium,ML Engineer,14535,Other,Other
Senior,Full-time,100,Medium,Data Architect,98549,United Kingdom,United Kingdom
Senior,Full-time,0,Medium,Data Scientist,231484,United States,United States
Senior,Full-time,100,Medium,Data Scientist,257085,United States,United States
Executive level,Full-time,100,Medium,Data Engineer,163892,United States,United States
Senior,Full-time,100,Medium,Data Analyst,221200,United States,United States
Entry level,Full-time,0,Large,Data Analyst,17353,Other,Other
Senior,Full-time,100,Medium,Data Engineer,149094,United States,United States
Mid/Intermediate level,Full-time,100,Small,Data Scientist,55530,Other,United States
Senior,Full-time,100,Medium,Data Engineer,254641,United States,United States
Senior,Full-time,0,Medium,DS/AI Executive,119973,United States,United States
Senior,Full-time,100,Large,DS/AI Executive,219229,United States,United States
Mid/Intermediate level,Full-time,100,Small,Data Analyst,6713,India,India
Mid/Intermediate level,Full-time,100,Medium,Data Analyst,117831,United States,United States
Senior,Full-time,0,Medium,Data Engineer,221196,United States,United States
Senior,Full-time,100,Medium,Data Analyst,203526,United States,United States
Senior,Full-time,0,Medium,AI/ML Researcher,173359,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Engineer,80339,United States,United States
Senior,Full-time,100,Medium,Data Engineer,231377,United States,United States
Mid/Intermediate level,Full-time,100,Medium,Data Analyst,76470,United States,United States
Senior,Full-time,0,Medium,Data Engineer,157572,United States,United States
Senior,Full-time,100,Medium,Data Scientist,148895,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Analyst,116760,United States,United States
Senior,Full-time,0,Medium,BI Analyst,199134,United States,United States
Executive level,Full-time,0,Medium,Data Engineer,210167,United States,United States
Senior,Full-time,0,Medium,Data Engineer,215065,United States,United States
Mid/Intermediate level,Full-time,100,Small,Data Scientist,6895,India,United States
Senior,Full-time,0,Medium,Data Engineer,259090,United States,United States
Senior,Full-time,100,Medium,Data Scientist,173533,United States,United States
Senior,Full-time,100,Medium,Data Engineer,134488,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Engineer,115688,United States,United States
Senior,Full-time,100,Medium,Data Analyst,206203,United States,United States
Senior,Full-time,100,Medium,Data Analyst,119973,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Analyst,143454,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Analyst,173533,United States,United States
Mid/Intermediate level,Full-time,100,Large,ML Engineer,185102,United States,United States
Mid/Intermediate level,Full-time,100,Large,Data Engineer,100202,United Kingdom,United Kingdom
Mid/Intermediate level,Full-time,100,Medium,Data Scientist,62472,Other,Brazil
Mid/Intermediate level,Full-time,100,Large,Data Analyst,106645,United States,United States
Mid/Intermediate level,Full-time,100,Medium,Data Engineer,85695,Spain,Spain
Mid/Intermediate level,Full-time,0,Medium,ML Engineer,96407,United States,United States
Senior,Full-time,100,Medium,Data Analyst,172376,United States,United States
Mid/Intermediate level,Full-time,50,Large,Data Scientist,132027,United States,United States
Entry level,Full-time,100,Large,Data Engineer,67728,Other,Germany
Entry level,Full-time,0,Medium,Data Scientist,128543,United States,United States
Senior,Full-time,100,Small,Data Engineer,14791,Other,Other
Senior,Full-time,100,Medium,Data Engineer,114617,United States,United States
Senior,Full-time,100,Medium,Data Engineer,148895,United States,United States
Mid/Intermediate level,Full-time,50,Large,Data Scientist,141952,United Kingdom,United Kingdom
Senior,Full-time,100,Large,ML Engineer,231377,United States,United States
Senior,Full-time,0,Medium,Data Engineer,97157,United States,United States
Mid/Intermediate level,Full-time,100,Medium,Data Scientist,123573,United States,United States
Senior,Full-time,100,Large,ML Engineer,242251,United States,United States
Senior,Full-time,100,Medium,Data Engineer,123187,United States,United States
Entry level,Full-time,50,Medium,Data Scientist,60278,France,France
Mid/Intermediate level,Full-time,0,Medium,Data Engineer,156394,United States,United States
Senior,Full-time,0,Medium,DS/AI Executive,199215,United States,United States
Senior,Full-time,0,Medium,AI/ML Researcher,313858,United States,United States
Senior,Full-time,100,Medium,ML Engineer,156180,Other,Other
Senior,Full-time,0,Medium,Data Engineer,283437,United States,United States
Senior,Full-time,0,Medium,Data Architect,180388,United States,United States
Senior,Full-time,100,Medium,Data Analyst,161964,United States,United States
Senior,Full-time,0,Medium,Data Scientist,167534,United States,United States
Senior,Full-time,0,Medium,Data Scientist,162427,United States,United States
Senior,Full-time,100,Medium,Data Analyst,127257,United States,United States
Senior,Full-time,100,Medium,ML Engineer,213167,United States,United States
Mid/Intermediate level,Full-time,100,Medium,AI Engineer,214238,United States,United States
Mid/Intermediate level,Full-time,50,Large,Data Scientist,65853,United Kingdom,Canada
Senior,Full-time,100,Medium,Data Engineer,190886,United States,United States
Senior,Full-time,0,Small,Data Scientist,112882,Other,Other
Mid/Intermediate level,Full-time,50,Large,ML Engineer,150224,United Kingdom,United Kingdom
Mid/Intermediate level,Full-time,50,Medium,Data Scientist,93890,United Kingdom,United Kingdom
Senior,Full-time,0,Medium,Data Scientist,55465,Spain,Spain
Senior,Full-time,0,Medium,Data Engineer,167749,United States,United States
Senior,Full-time,100,Medium,Data Engineer,196671,United States,United States
Senior,Full-time,0,Medium,Data Engineer,237509,United States,United States
Senior,Full-time,100,Large,Data Scientist,181478,United States,United States
Senior,Full-time,0,Medium,AI Engineer,182102,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Scientist,167749,United States,United States
Senior,Full-time,100,Medium,Data Analyst,121472,United States,United States
Entry level,Full-time,50,Small,Data Scientist,77606,Germany,Germany
Senior,Full-time,0,Medium,Data Engineer,175461,United States,United States
Entry level,Full-time,100,Large,Data Analyst,88257,United States,United States
Entry level,Full-time,100,Medium,Data Scientist,208239,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Engineer,61626,Other,Other
Senior,Full-time,0,Medium,Data Analyst,148895,United States,United States
Entry level,Full-time,0,Medium,Data Scientist,133079,United States,United States
Senior,Full-time,100,Medium,Data Scientist,229294,United States,United States
Senior,Full-time,100,Medium,Data Engineer,203526,United States,United States
Senior,Full-time,0,Medium,Data Scientist,109325,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Engineer,198920,United States,United States
Senior,Full-time,0,Medium,Data Scientist,214238,United States,United States
Senior,Full-time,0,Medium,Data Engineer,72884,United States,United States
Mid/Intermediate level,Full-time,0,Small,ML Engineer,53559,Other,Other
Senior,Full-time,100,Medium,Data Scientist,214139,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Engineer,106891,United Kingdom,United Kingdom
Senior,Full-time,0,Medium,ML Engineer,217143,United Kingdom,United Kingdom
Senior,Full-time,0,Medium,Data Engineer,123208,United States,United States
Mid/Intermediate level,Full-time,100,Medium,Data Scientist,231377,United States,United States
Mid/Intermediate level,Full-time,100,Medium,Data Scientist,144557,Other,Other
Senior,Full-time,100,Medium,Data Analyst,150395,Canada,Canada
Senior,Full-time,0,Medium,Data Engineer,127257,United States,United States
Mid/Intermediate level,Full-time,100,Medium,Data Analyst,87667,United Kingdom,United Kingdom
Mid/Intermediate level,Full-time,100,Medium,Data Engineer,98602,Other,Other
Senior,Full-time,100,Medium,Data Engineer,67485,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Engineer,149966,United States,United States
Senior,Full-time,0,Medium,ML Engineer,85749,Other,Other
Senior,Full-time,0,Medium,Data Scientist,254515,United States,United States
Mid/Intermediate level,Full-time,100,Medium,Data Scientist,119890,United Kingdom,United Kingdom
Mid/Intermediate level,Full-time,0,Large,Data Scientist,141244,Other,Other
Senior,Full-time,0,Medium,ML Engineer,157465,United States,United States
Senior,Full-time,0,Medium,Data Engineer,112347,United Kingdom,United Kingdom
Mid/Intermediate level,Full-time,0,Medium,Data Analyst,144611,United States,United States
Senior,Full-time,0,Medium,Data Analyst,106723,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Engineer,95906,United States,United States
Senior,Full-time,100,Medium,ML Engineer,97179,United States,United States
Senior,Full-time,100,Medium,Data Engineer,176746,United States,United States
Senior,Full-time,0,Medium,DS/AI Executive,320822,United States,United States
Senior,Full-time,50,Medium,Data Engineer,134887,United Kingdom,United Kingdom
Senior,Full-time,0,Large,Data Scientist,138827,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Analyst,113010,United States,United States
Entry level,Part-time,50,Small,Data Scientist,26811,Other,Other
Senior,Full-time,0,Medium,Data Scientist,175615,United States,United States
Senior,Full-time,100,Large,Data Scientist,183019,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Engineer,196671,United States,United States
Mid/Intermediate level,Full-time,100,Small,Data Analyst,86766,Canada,Canada
Mid/Intermediate level,Full-time,0,Medium,DS/AI Executive,179317,United States,United States
Mid/Intermediate level,Full-time,100,Medium,Data Analyst,80339,United States,United States
Mid/Intermediate level,Full-time,0,Medium,Data Management,156180,United States,United States
Senior,Full-time,0,Medium,Data Scientist,283437,United States,United States
Entry level,Full-time,0,Medium,Data Analyst,23138,Other,Other
